,Position,date,persName,roleName
42,Assistant Under-Secretary (until 1949),1940-1948,Sir Charles W. Dixon,"K.C.M.G., O.B.E."
43,Assistant Under-Secretary (until 1949),1942-1946,Sir P. Alexander Clutterbuck,"G.C.M.G., M.C."
44,Assistant Under-Secretary (until 1949),1946-1948,Sir Cecil G.L. Syers,"K.C.M.G., C.V.O."
45,Assistant Under-Secretary (until 1949),1947-1949,Sir Paul J. Patrick,"K.C.I.E., C.S.I."
46,Assistant Under-Secretary (until 1949),1947-1955,George H. Baxter,"C.M.G., C.I.E."
47,Assistant Under-Secretary (until 1949),1948-1950,Lord Garner,G.C.M.G.
48,Assistant Under-Secretary (until 1949),1948-1949,Norman E. Archer,"C.M.G., O.B.E."
49,Assistant Under-Secretary (until 1949),1949,Walter J. Garnett,"C.M.G., O.B.E."
50,Assistant Under-Secretary (Foreign Affairs Division),1950-1954,Sir Neil Pritchard,K.C.M.G.
51,Assistant Under-Secretary (Foreign Affairs Division),1954-1956,Sir W. Arthur W. Clark,"K.C.M.G., C.B.E."
52,Assistant Under-Secretary (Foreign Affairs Division),1956-1957,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
53,Assistant Under-Secretary (Foreign Affairs Division),1957-1958,Rt. Hon. Lord Saint Brides,"G.C.M.G., C.V.O., M.B.E."
54,Assistant Under-Secretary (Foreign Affairs Division),1958-1960,Sir W. Arthur W. Clark,"K.C.M.G., C.B.E."
55,Assistant Under-Secretary (Foreign Affairs Division),1960-1961,Sir Neil Pritchard,K.C.M.G.
56,Assistant Under-Secretary (Foreign Affairs Division),1961-1962,Sir G. Peter Hampshire,K.C.M.G.
57,Assistant Under-Secretary (Foreign Affairs Division),1962-1966,Sir Cyril S. Pickard,K.C.M.G.
58,Assistant Under-Secretary (Constitutions and Political Division/Political Division),1949-1954,Richard R. Sedgwick,C.M.G.
59,Assistant Under-Secretary (Constitutions and Political Division/Political Division),1954-1955,Sir Alexander F. Morley,"K.C.M.G., C.B.E."
60,Assistant Under-Secretary (Constitutions and Political Division/Political Division),1955-1957,Sir Ian M.R. Maclennan,K.C.M.G.
61,Assistant Under-Secretary (Constitutions and Political Division/Political Division),1957-1959,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
62,Assistant Under-Secretary (Constitutions and Political Division/Political Division),1959-1960,Sir David W.S. Hunt,"K.C.M.G., O.B.E."
63,Assistant Under-Secretary (Constitutions and Political Division/Political Division),1960-1962,G.W. St. John Chadwick,C.M.G.
64,Assistant Under-Secretary (Africa and General; Africa from 1961 until 1962; Africa and Political from 1962),1956-1961,Godfrey E. Boyd Shannon,C.M.G.
65,Assistant Under-Secretary (Africa and General; Africa from 1961 until 1962; Africa and Political from 1962),1961-1962,Maurice R. Metcalf,"C.M.G., O.B.E."
66,Assistant Under-Secretary (Africa and General; Africa from 1961 until 1962; Africa and Political from 1962),1962-1964,G.W. St. John Chadwick,C.M.G.
67,"Assistant Under-Secretary (United Nations Organization, Western and Middle East)",1965-1968,Sir John O. Moreton,"K.C.M.G., K.C.V.O., M.C."
68,Assistant Under-Secretary (West and East Africa),1964-1965,G.W. St. John Chadwick,C.M.G.
69,Assistant Under-Secretary (West and East Africa),1965-1968,Sir Eric G. Norris,K.C.M.G.
70,Assistant Under-Secretary (Central Africa),1964-1967,Sir N. Duncan Watson,K.C.M.G.
71,Assistant Under-Secretary (Central Africa),1966-1967,Sir Andrew G. Gilchrist,K.C.M.G.
72,Assistant Under-Secretary (Central Africa),1967-1968,Sir James R.A. Bottomley,K.C.M.G.
73,Assistant Under-Secretary (West Indies and General) (from 1962),1962-1968,Leonard B. Walsh Atkins,C.M.G.
74,Assistant Under-Secretary (South Asia and Atlantic),1966,Sir Cyril S. Pickard,K.C.M.G.
75,Assistant Under-Secretary (South Asia and Atlantic),1966-1967,Sir John B. Johnston,"G.C.M.G., K.C.V.O."
76,Assistant Under-Secretary (South Asia and Atlantic),1967-1968,Roland C.C. Hunt,C.M.G.
77,Assistant Under-Secretary (Economic Division/Trade),1949-1952,Sir Alexander C.B. Symon,"K.C.M.G., K.C.V.O., O.B.E."
78,Assistant Under-Secretary (Economic Division/Trade),1954-1958,Sir H. Algernon F. Rumbold,"K.C.M.G., C.I.E."
79,Assistant Under-Secretary (Economic Division/Trade),1958-1960,Sir Norman E. Costar,K.C.M.G.
80,Assistant Under-Secretary (Economic Division/Trade),1960-1961,Ronald H. Belcher,C.M.G.
81,Assistant Under-Secretary (Economic Division/Trade),1961-1966,Godfrey E. Boyd Shannon,C.M.G.
82,Assistant Under-Secretary (Finance and General Division),1947-1954,George H. Baxter,"C.M.G., C.I.E."
83,Assistant Under-Secretary (Aid),1964-1965,Edwin L. Sykes,C.M.G.
84,"Assistant Under-Secretary (Dependent Territories; Constitutions, International and General)",1966,Harold P. Hall,"C.M.G., M.B.E."
85,"Assistant Under-Secretary (Dependent Territories-Gibraltar, South Atlantic, Pacific and Indian Ocean)",1947-1954,George H. Baxter,"C.M.G., C.I.E."
86,"Assistant Under-Secretary (Dependent Territories-Gibraltar, South Atlantic, Pacific and Indian Ocean)",1947-1954,George H. Baxter,"C.M.G., C.I.E."
87,Assistant Under-Secretary (West Indies and Hong Kong),1947-1954,George H. Baxter,"C.M.G., C.I.E."
88,Assistant Under-Secretary (West Indies and Hong Kong),1947-1954,George H. Baxter,"C.M.G., C.I.E."
89,Assistant Under-Secretary (Information and Cultural Relations Division),1957-1962,Ben Cockram,"C.M.G., O.B.E."
90,Assistant Under-Secretary (Information and Cultural Relations Division),1962-1964,Major-General Sir William H.A. Bishop,"K.C.M.G., C.B., C.V.O., O.B.E."
91,Assistant Under-Secretary (Information and Cultural Relations Division),1964-1967,Sir W. Arthur W. Clark,"K.C.M.G., C.B.E."
92,Assistant Under-Secretary (Information and Cultural Relations Division),1967-1968,Sir John B. Johnston,"G.C.M.G., K.C.V.O."
93,Assistant Under-Secretary (Establishments and Organization until 1964),1949-1959,William A.B. Hamilton,C.M.G.
94,Assistant Under-Secretary (Establishments and Organization until 1964),1959-1962,Sir C. Michael Walker,G.C.M.G.
95,Assistant Under-Secretary (Establishments and Organization until 1964),1962-1964,Sir G. Peter Hampshire,K.C.M.G.
96,Assistant Under-Secretary (Establishments and Organization until 1964),1964,Sir N. Duncan Watson,K.C.M.G.
97,Assistant Under-Secretary (Establishments and Organization until 1964),1962-1968,William A.B. Hamilton,C.M.G.
98,Assistant Under-Secretary (Establishments and Organization until 1964),1965,James C. Morgan,C.M.G.
99,Assistant Secretaries,1925-1930,Sir Harry F. Batterbee,"G.C.M.G., K.C.V.O."
100,Assistant Secretaries,1925-1930,Sir Geoffrey G. Whiskard,"K.C.B., K.C.M.G."
101,Assistant Secretaries,1925-1927,Sir A.C. Cosmo Parkinson,"G.C.M.G., K.C.B., O.B.E."
102,Assistant Secretaries,1927-1946,Robert A. Wiseman,C.M.G.
103,Assistant Secretaries,1927-1940,Sir Charles W. Dixon,"K.C.M.G., O.B.E."
104,Assistant Secretaries,1929-1949,Hugh N. Tait,C.M.G.
105,Assistant Secretaries,1930-1936,"Sir Eric G. Machtig, G.C.M.G","K.C.B., O.B.E."
106,Assistant Secretaries,1936-1939,Sir John E. Stephenson,"K.C.M.G., C.V.O., O.B.E."
107,Assistant Secretaries,1937-1939,William Bankes Amery,C.B.E.
108,Assistant Secretaries,1939-1943,Sir Stephen L. Holmes,"K.C.M.G., M.C."
109,Assistant Secretaries,1939-1940,Sir C. Roy Price,K.C.M.G.
110,Assistant Secretaries,1940-1942,Sir P. Alexander Clutterbuck,"G.C.M.G., M.C."
111,Assistant Secretaries,1941-1944,Norman E. Archer,"C.M.G., O.B.E."
112,Assistant Secretaries,1942-1948,Sir C. Roy Price,K.C.M.G.
113,Assistant Secretaries,1944-1946,Richard R. Sedgwick,C.M.G.
114,Assistant Secretaries,194_-1946,Gurth Kimber,C.M.G.
115,Assistant Secretaries,194_-1948,Godfrey E. Boyd Shannon,C.M.G.
116,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1951-1955,Denis M. Cleary,C.M.G.
117,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1955-1957,Robin L.D. Jasper,C.M.G.
118,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1957-1959,Harry G.M. Bass,C.M.G.
119,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1959-1960,Ronald H. Belcher,C.M.G.
120,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1960-1962,Gurth Kimber,C.M.G.
121,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1962-1963,Harry G.M. Bass,C.M.G.
122,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1963-1965,John D.B. Shaw,M.V.O.
123,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1965-1966,Ian B. Watt,C.M.G.
124,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1966-1967,Christopher E. Diggines,C.M.G.
125,"Head of Western and United Nations Department (United Nations Department from 1957 until 1963; Western, United Nations and Middle East from 1963)",1967-1968,Robert H.G. Edmonds,"C.M.G., M.B.E."
126,Head of the Mediterranean Department (from 1965 until 1966),1965,James C. Morgan,C.M.G.
127,Head of the Mediterranean Department (from 1965 until 1966),1965-1966,Christopher E. Diggines,C.M.G.
128,Head of Malta Department (from 1964 until 1965),1964-1965,John M. Kisch,C.M.G.
129,Head of Middle East Department (Western and Middle East from 1960),1959,Sir David W.S. Hunt,"K.C.M.G., O.B.E."
130,Head of Middle East Department (Western and Middle East from 1960),1959-1961,Francis A.K. Harrison,
131,Head of Middle East Department (Western and Middle East from 1960),1961,Sir G. Peter Hampshire,K.C.M.G.
132,Head of Middle East Department (Western and Middle East from 1960),1961-1962,Alexander W. Redpath,C.B.E.
133,Head of Ghana Department (from 1957 until 1960),1957-1960,Mark E. Allen,"C.M.G., C.V.O."
134,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1960-1961,Sir John O. Moreton,"K.C.M.G., K.C.V.O., M.C."
135,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1961,Kenneth G. East,C.M.G.
136,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1961-1964,Victor C. Martin,O.B.E.
137,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1964-1965,Francis A.K. Harrison,
138,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1965-1966,Basil J. Greenhill,"C.B., C.M.G."
139,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1966-1967,F. Stephen Miles,C.M.G.
140,Head of West and General Africa Department (from 1960 and from 1964; West Africa Department from 1961 until 1964; West and General African Political Department from 1965),1967-1968,Sir Donald C. Tebbit,G.C.M.G.
141,Head of Nigeria Department (from 1960 until 1961),1960-1961,Basil J. Greenhill,"C.B., C.M.G."
142,Head of Nigeria Department (from 1960 until 1961),1961,Victor C. Martin,O.B.E.
143,Head of East and General African Department (East African from 1963 until 1964; East African Political Department from 1964 until 1965; East and Southern African Department from 1965),1961-1963,Kenneth G. East,C.M.G.
144,Head of East and General African Department (East African from 1963 until 1964; East African Political Department from 1964 until 1965; East and Southern African Department from 1965),1963-1965,Norman Aspin,C.M.G.
145,Head of East and General African Department (East African from 1963 until 1964; East African Political Department from 1964 until 1965; East and Southern African Department from 1965),1965-1968,Sir Michael Scott,"K.C.V.O., C.M.G."
146,Head of East Africa Economic Department (from 1963 until 1964),1963-1964,Walter G. Lamarque,M.B.E.
147,Head of Central Africa Department (and Territories until 1959; Territories until 1952),1950-1954,Sir W. Arthur W. Clark,"K.C.M.G., C.B.E."
148,Head of Central Africa Department (and Territories until 1959; Territories until 1952),1954-1956,Sir Robert W.D. Fowler,K.C.M.G.
149,Head of Central Africa Department (and Territories until 1959; Territories until 1952),1956-1959,Sir David W.S. Hunt,"K.C.M.G., O.B.E."
150,Head of Central Africa Department (and Territories until 1959; Territories until 1952),1959-1961,Sir David A. Scott,G.C.M.G.
151,Head of Central Africa Department (and Territories until 1959; Territories until 1952),1961,Francis A.K. Harrison,
152,Head of Central Africa Department (and Territories until 1959; Territories until 1952),1961-1962,Eric G. Le Tocq,C.M.G.
153,Head of Southern Rhodesia Department (from 1964 until 1966,1964-1965,Harry G.M. Bass,C.M.G.
154,Head of Southern Rhodesia Department (from 1964 until 1966,1965-1966,Kenneth J. Neale,O.B.E.
155,Head of Zambia Department (from 1964; Malawi and Zambia Department from 1965),1964-196_,S.P. Whitley,
156,Head of Zambia Department (from 1964; Malawi and Zambia Department from 1965),1967-1968,William Peters,"C.M.G., M.V.O., M.B.E."
157,Head of Malawi and Central African Economic Development Department (from 1964 until 1965),1964-1965,Kenneth J. Neale,O.B.E.
158,Head of Southern Africa Department (from 1959 until 1962),1959-1962,Edwin L. Sykes,C.M.G.
159,Head of Africa Economic Department (from 1962 until 1963),1963,Walter G. Lamarque,M.B.E.
160,Head of Atlantic Department (from 1964),1964-1968,Denis M. Cleary,C.M.G.
161,Head of West Indies Department (from 1962 until,1962-1964,Edwin L. Sykes,C.M.G.
162,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1951-1953,Sir G. Peter Hampshire,K.C.M.G.
163,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1953-1954,Sir Robert W.D. Fowler,K.C.M.G.
164,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1954-1955,Gurth Kimber,C.M.G.
165,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1955-1958,Sir Cyril S. Pickard,K.C.M.G.
166,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1957-1960,Henry A. Twist,"C.M.G., O.B.E."
167,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1960-1961,Victor C. Martin,O.B.E.
168,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1961-1962,Timothy L. Crosthwait,"C.M.G., M.B.E."
169,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1962-1964,Eleanor J. Emery,C.M.G.
170,Head of South Asia Department (and Middle East from 195_ until 195_; and Far East from 1957 until 1960),1964-1966,Victor C. Martin,O.B.E.
171,Head of Malaya Department (from 1957 until 1960),1957-1958,G.W. St.John Chadwick,C.M.G.
172,Head of Malaya Department (from 1957 until 1960),1958-1959,Sir Edward N. (Nick) Larmour,K.C.M.G.
173,Head of Malaya Department (from 1957 until 1960),1959-1960,William J. Smith,C.B.
174,Head of Far East Department (until 1957; Far East and Pacific from 1960),1951-1953,Major-General Sir William H.A. Bishop,"K.C.M.G., C.B., C.V.O., O.B.E."
175,Head of Far East Department (until 1957; Far East and Pacific from 1960),1953-1955,George E. Crombie,C.M.G.
176,Head of Far East Department (until 1957; Far East and Pacific from 1960),1955-1956,Roland C.C. Hunt,C.M.G.
177,Head of Far East Department (until 1957; Far East and Pacific from 1960),1956-1957,G.W. St. John Chadwick,C.M.G.
178,Head of Far East Department (until 1957; Far East and Pacific from 1960),1960-1962,Richard C. Ormerod,
179,Head of Far East Department (until 1957; Far East and Pacific from 1960),1962-1964,Anthony A. Golds,"C.M.G., L.V.O."
180,Head of Far East Department (until 1957; Far East and Pacific from 1960),1964-1966,Alan J. Brown,
181,Head of Far East Department (until 1957; Far East and Pacific from 1960),1966-1968,Adrian H. Reed,C.M.G.
182,Head of Asian Economic Department (from 1964 until 1967),1964-1966,Henry A. Twist,"C.M.G., O.B.E."
183,Head of Asian Economic Department (from 1964 until 1967),1966-1967,George S. Whitehead,"C.M.G., L.V.O."
184,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1948-1953,Sir Norman E. Costar,K.C.M.G.
185,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1953-1954,Sir Alexander F. Morley,"K.C.M.G., C.B.E."
186,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1954-1956,Francis A.K. Harrison,
187,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1956-1957,Leonard B. Walsh Atkins,"C.M.G., C.V.O."
188,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1957-1960,G.W. St. John Chadwick,C.M.G.
189,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1960-1962,Leonard J.B. Wakely,C.M.G.
190,Head of Constitutional Department (Constitutional and Nationality from 19_ until 19_ Constitutional and Protocol Department from 1963 until 1965),1963-1965,James M. Dutton,
191,Head of Protocol and Nationality Department (Protocol from 1954 until 195_),1954-1955,Maurice E. Antrobus,"C.M.G., M.B.E."
192,Head of Protocol and Nationality Department (Protocol from 1954 until 195_),1956-1957,William G. Head,C.B.E.
193,Head of Commonwealth Policy and Planning Department (from 1965),1963-1965,Thomas W. Keeble,
194,Head of Commonwealth Policy and Planning Department (from 1965),1965-1968,Robert Walker,
195,Head of Political Affairs Department (from 1950 until 1954 and from 1965 until 1967),1950-1954,Cyril G. Costley-White,C.M.G.
196,Head of Political Affairs Department (from 1950 until 1954 and from 1965 until 1967),1965-1967,Cyril G. Costley-White,C.M.G.
197,Head of Defence Department (and Western Department from 1957),1947-19_,Rt. Hon. Lord Saint Brides,"G.C.M.G., C.V.O., M.B.E."
198,Head of Defence Department (and Western Department from 1957),1951-1952,Edwin L. Sykes,C.M.G.
199,Head of Defence Department (and Western Department from 1957),1952-1954,Bernard R. Curson,C.M.G.
200,Head of Defence Department (and Western Department from 1957),1955-1956,Gurth Kimber,C.M.G.
201,Head of Defence Department (and Western Department from 1957),1956-1957,Mark E. Allen,"C.M.G., C.V.O."
202,Head of Defence Department (and Western Department from 1957),1957-1959,Sir John B. Johnston,"G.C.M.G., K.C.V.O."
203,Head of Defence Department (and Western Department from 1957),1959-1960,Thomas W. Keeble,
204,Head of Defence Department (and Western Department from 1957),1960-1964,Major-General Cedric R. Price,"C.B., C.B.E."
205,Head of Defence Department (and Western Department from 1957),1964-1968,Major-General John M. McNeill,"C.B., C.B.E."
206,Head of Defence Supplies Department (from 1963 until 1965),1963-1965,James D. Fraser,"C.V.O., M.B.E."
207,Head of Technical Assistance Department (from 1960 until 196_),1960-1961,George D. Anderson,C.M.G.
208,Head of Trade Department (until 195_ and from 1967),1950-1952,Gurth Kimber,C.M.G.
209,Head of Trade Department (until 195_ and from 1967),1952-1953,Leonard B. Walsh Atkins,"C.M.G., C.V.O."
210,Head of Trade Department (until 195_ and from 1967),1967-1968,George S. Whitehead,"C.M.G., L.V.O."
211,Head of Food and Development Department (until 1952; Development Department from 1952 until 1954),194_-1952,William G. Head,C.B.E.
212,Head of Food and Development Department (until 1952; Development Department from 1952 until 1954),1952-1954,Harold E. Davies,
213,Head of Food and Development Department (until 1952; Development Department from 1952 until 1954),1954,John Thomson,"C.M.G., M.B.E., M.M."
214,Head of Raw Materials Department (Commodities Department from 1952),1951-1952,Godfrey E.B. Shannon,C.M.G.
215,Head of Raw Materials Department (Commodities Department from 1952),1953-1954,Maurice R. Metcalf,"C.M.G., O.B.E."
216,Head of Raw Materials Department (Commodities Department from 1952),1954-1955,Lord Thurlow,K.C.M.G.
217,Head of Overseas Finance Department,1951-1952,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
218,Head of Overseas Finance Department,1952-1954,Sir David W.S. Hunt,"K.C.M.G., O.B.E."
219,Head of Economic Policy Department (from 1955 until 1963),1955-1958,Desmond J.C. Crawley,"C.M.G., C.V.O."
220,Head of Economic Policy Department (from 1955 until 1963),1958-1959,Martin J. Moynihan,"C.M.G., M.C."
221,Head of Economic Policy Department (from 1955 until 1963),1959-1961,Sir James R.A. Bottomley,K.C.M.G.
222,Head of Economic Policy Department (from 1955 until 1963),1961-1962,Sir Cyril S. Pickard,K.C.M.G.
223,Head of Economic Policy Department (from 1955 until 1963),1962-1963,Harold E. Davies,
224,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1954-1956,Bernard R. Curson,C.M.G.
225,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1956-1958,Harold E. Davies,
226,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1958-1959,George E. Crombie,C.M.G.
227,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1959-1960,Martin J. Moynihan,"C.M.G., M.C."
228,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1960-1961,William J. Smith,C.B.
229,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1961-1962,Harold E. Davies,
230,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1962-1965,Adrian H. Reed,C.M.G.
231,Head of Economic Relations I Department (Western Economic) (from 1954 until 1967),1965-1967,F.G. Kenna Gallagher,C.M.G.
232,Head of Economic Relations II Department (from 1954 until 1963),1954-1957,John Thomson,"C.M.G., M.B.E., M.M."
233,Head of Economic Relations II Department (from 1954 until 1963),1957-1958,Robin L.D. Jasper,C.M.G.
234,Head of Economic Relations II Department (from 1954 until 1963),1958-1960,Lord Hunt of Tanworth,G.C.B.
235,Head of Economic Relations II Department (from 1954 until 1963),1961-1962,Roland C.C. Hunt,C.M.G.
236,Head of Economic Relations II Department (from 1954 until 1963),1962-1963,Timothy L. Crosthwait,"C.M.G., M.B.E."
237,Head of Colombo Plan Department (from 1955 until 1959),1955-1956,Sir G. Peter Hampshire,K.C.M.G.
238,Head of Colombo Plan Department (from 1955 until 1959),1956-1958,Bernard R. Curson,C.M.G.
