,Position,date,persName,roleName
34,Permanent Under-Secretary (German Section) (post established 1947 and disestablished 1951),1947-1949,Lord Strang,"G.C.M.G., K.C.B., M.B.E."
35,Permanent Under-Secretary (German Section) (post established 1947 and disestablished 1951),1949-1950,Sir Ivone A. Kirkpatrick,"G.C.B., G.C.M.G."
36,Permanent Under-Secretary (German Section) (post established 1947 and disestablished 1951),1950-1951,Sir Donald St.C. Gainer,"G.B.E., K.C.M.G., O.B.E."
37,Deputy Under-Secretary of Statetpost first established in 1925; up to 1945),1925-1936,Sir Victor A.A.H. Wellesley,"K.C.M.G., C.B."
38,Deputy Under-Secretary of Statetpost first established in 1925; up to 1945),1930-1933,Sir C. Hubert Montgomery,"K.C.M.G., K.C.V.O., C.B."
39,Deputy Under-Secretary of Statetpost first established in 1925; up to 1945),1936-1939,Sir Lancelot Oliphant,"K.C.M.G., C.B."
40,Deputy Under-Secretary of Statetpost first established in 1925; up to 1945),1936-1938,Rt. Hon. Sir Alexander G.M. Cadogan,"O.M., G.C.M.G., K.C.B."
41,Deputy Under-Secretary of Statetpost first established in 1925; up to 1945),1939-1946,Sir Orme G. Sargent,"G.C.M.G., K.C.B."
42,Deputy Under-Secretary of Statetpost first established in 1925; up to 1945),1944-1947,Sir David J. Montagu-Douglas-Scott,"K.C.M.G., O.B.E."
43,Deputy Under-Secretary (Europe/Political Director-Director-General),1946-1948,Lord Harvey of Tasburgh,"G.C.M.G., G.C.V.O."
44,Deputy Under-Secretary (Europe/Political Director-Director-General),1948-1949,Sir Ivone A. Kirkpatrick,"G.C.B., G.C.M.G."
45,Deputy Under-Secretary (Europe/Political Director-Director-General),1949-1950,Lord Gladwyn,"G.C.M.G., G.C.V.O., C.B."
46,Deputy Under-Secretary (Europe/Political Director-Director-General),1950-1954,Sir Pierson J. Dixon,"G.C.M.G., C.B."
47,Deputy Under-Secretary (Europe/Political Director-Director-General),1952-1954,Sir Frank K. Roberts,"G.C.M.G., G.C.V.O."
48,Deputy Under-Secretary (Europe/Political Director-Director-General),1954-1956,Lord Caccia,"G.C.M.G., G.C.V.O."
49,Deputy Under-Secretary (Europe/Political Director-Director-General),1954-1956,Sir John G. Ward,G.C.M.G.
50,Deputy Under-Secretary (Europe/Political Director-Director-General),1956-1957,Sir D’A. Patrick Reilly,"G.C.M.G., O.B.E."
51,Deputy Under-Secretary (Europe/Political Director-Director-General),1957-1958,Sir William G. Hayter,K.C.M.G.
52,Deputy Under-Secretary (Europe/Political Director-Director-General),1960-1962,Sir C.A. Evelyn Shuckburgh,"G.C.M.G., C.B."
53,Deputy Under-Secretary (Europe/Political Director-Director-General),1962-1969,Viscount Hood,G.C.M.G.
54,Deputy Under-Secretary (Europe/Political Director-Director-General),1969-1973,Lord Brimelow,"G.C.M.G., O.B.E."
55,Deputy Under-Secretary (Europe/Political Director-Director-General),1973-1975,Sir John E. Killick,G.C.M.G.
56,Deputy Under-Secretary (Europe/Political Director-Director-General),1975-1976,Sir Alan H. Campbell,G.C.M.G.
57,Deputy Under-Secretary (Europe/Political Director-Director-General),1976-1979,Sir Reginald A. Hibbert,G.C.M.G.
58,Deputy Under-Secretary (Europe/Political Director-Director-General),1979-1984,Sir Julian L. Bullard,G.C.M.G.
59,Deputy Under-Secretary (Europe/Political Director-Director-General),1984-1987,Sir Derek M.D. Thomas,K.C.M.G.
60,Deputy Under-Secretary (Europe/Political Director-Director-General),1987-1990,Sir M. John E. Fretwell,G.C.M.G.
61,Deputy Under-Secretary (Europe/Political Director-Director-General),1990-1991,Sir P. John Weston,K.C.M.G.
62,Deputy Under-Secretary (Europe/Political Director-Director-General),1991-1994,Sir Leonard V. Appleyard,K.C.M.G.
63,Deputy Under-Secretary (Europe/Political Director-Director-General),1994-1996,Rt. Hon. Baroness Neville-Jones,D.C.M.G.
64,Deputy Under-Secretary (Europe/Political Director-Director-General),1996-1998,Sir Jeremy Q. Greenstock,G.C.M.G.
65,Deputy Under-Secretary (Europe/Political Director-Director-General),1998-2001,Sir Emyr Jones Parry,G.C.M.G.
66,Deputy Under-Secretary (Europe/Political Director-Director-General),2001-2003,Lord Ricketts,"G.C.M.G., G.C.V.O."
67,Deputy Under-Secretary (Europe/Political Director-Director-General),2003-2007,Sir R. John Sawers,G.C.M.G.
68,Deputy Under-Secretary (Europe/Political Director-Director-General),2007-2009,Sir Mark J. Lyall Grant,G.C.M.G.
69,Deputy Under-Secretary (Europe/Political Director-Director-General),2009-2012,Sir Geoffrey Doyne Adams,K.C.M.G.
70,Deputy Under-Secretary (Europe/Political Director-Director-General),2012-2013,Sir Mark P. Sedwill,K.C.M.G.
71,Deputy Under-Secretary (Europe/Political Director-Director-General),2013-2016,Sir Simon L. Gass,"K.C.M.G., C.V.O."
72,Deputy Under-Secretary (Europe/Political Director-Director-General),2016-2017,Sir Timothy E. Barrow,"K.C.M.G., L.V.O., M.B.E."
73,Deputy Under-Secretary (Europe/Political Director-Director-General),2017-,Karen E. Pierce,C.M.G.
74,"Director-General, Europe/Europe and Globalization (from 2007 until 2011)",2003-2004,Sir N. Kim Darroch,K.C.M.G.
75,"Director-General, Europe/Europe and Globalization (from 2007 until 2011)",2004-2007,Dame Nicola Brewer,D.C.M.G.
76,"Director-General, Europe/Europe and Globalization (from 2007 until 2011)",2007-2008,Sir Martin E. Donnelly,"K.C.B., C.M.G."
77,"Director-General, Europe/Europe and Globalization (from 2007 until 2011)",2008-2009,Sir Simon J. Fraser,G.C.M.G.
78,"Director-General, Europe/Europe and Globalization (from 2007 until 2011)",2009-2011,Nicholas G.F. Baird,"C.M.G., C.V.O."
79,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1946-1948,Sir Edmund L. Hall-Patch,G.C.M.G.
80,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1948-1952,Lord Sherfield,"G.C.B., G.C.M.G."
81,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1956-1960,Lord Gore-Booth,"G.C.M.G., K.C.V.O."
82,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1960-1964,Sir D’A. Patrick Reilly,G.C.M.G.
83,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1963-1965,Sir Charles H. Johnston,G.C.M.G.
84,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1965-1968,Hon. Sir Con D.W. O’Neill,G.C.M.G.
85,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1968-1969,Sir Patrick F. Hancock,G.C.M.G.
86,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1968-1969,Sir Arthur W. Snelling,"K.C.M.G., K.C.V.O."
87,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1969-1970,Sir Peter T. Hayman,"K.C.M.G., C.V.O., M.B.E."
88,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1970-1972,Sir James R.A. Bottomley,K.C.M.G.
89,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1972-1975,Sir J. Oliver Wright,"G.C.M.G., G.C.V.O., D.S.C."
90,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1974-1975,Sir Donald J.D. Maitland,"G.C.M.G., O.B.E."
91,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1975-1977,Sir Norman Statham,"K.C.M.G., C.V.O."
92,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1976-1979,Sir Michael D. Butler,G.C.M.G.
93,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1979-1982,Lord Bridges,G.C.M.G.
94,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1982-1983,Sir Richard M. Evans,"K.C.M.G., K.C.V.O."
95,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1983-1984,Sir Crispin C.C. Tickell,"G.C.M.G., K.C.V.O."
96,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1984-1988,Sir Rodric Q. Braithwaite,G.C.M.G.
97,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1988-1992,Sir Nicholas P. Bayne,K.C.M.G.
98,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1992-1994,Sir Brian L. Crowe,K.C.M.G.
99,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1994-1996,Lord Jay of Ewelme,G.C.M.G.
100,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1996-1997,Sir Paul Lever,K.C.M.G.
101,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",1997-2001,Sir Colin R. Budd,K.C.M.G.
102,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",2001-2003,Sir Michael A. Arthur,K.C.M.G.
103,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",2003-2004,Sir Graham H. Fry,K.C.M.G.
104,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",2004-2007,Sir Martin E. Donnelly,"K.C.B., C.M.G."
105,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",2011-2014,Dame Barbara J. Woodward,"D.C.M.G., O.B.E."
106,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",2014-2016,Sir Julian B. King,"K.C.V.O., C.M.G."
107,"Deputy Under-Secretary (Economic and Consular; Director-General, European Union-Economic Affairs from 2002; Economic and Consular from 2011 until 2017; Economic and Global from 2017)",2016-,Deborah J. Bronnert,C.M.G.
108,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1824-1841,Thomas Bidwell,
109,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1841-1866,George W. Lenox-Conyngham,
110,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1866-1890,Sir Francis Beilby Alston,K.C.M.G.
111,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1890-1896,Henry A.W. Hervey,C.B.
112,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1896-1900,"Sir George E. Dallas, Bt.",
113,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1900-1913,Sir W. Chauncy Cartwright,K.C.M.G.
114,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1913-1919,Rt. Hon. Sir John A.C. Tilley,"G.C.M.G., G.C.V.O., C.B."
115,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1919-1933,Sir C. Hubert Montgomery,"K.C.M.G., K.C.V.O., C.B."
116,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1933-1939,Charles Howard Smith,C.M.G.
117,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1939-1940,Sir Frederick G.A. Butler,"K.C.M.G., C.B."
118,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1940-1944,Frank T.A. Ashton-Gwatkin,"C.B., C.M.G."
119,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1944-1946,Sir James I.C. Crombie,"K.B.E., C.M.G."
120,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1946-1949,Lord Caccia,"G.C.M.G., G.C.V.O."
121,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1949-1953,Sir H. Ashley Clarke,"G.C.M.G., G.C.V.O."
122,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1953-1956,Sir Roderick E. Barclay,"G.C.V.O., K.C.M.G."
123,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1956-1959,Sir W. Denis Allen,"G.C.M.G., C.B."
124,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1959-1963,Sir Francis B.A. Rundall,"G.C.M.G., O.B.E."
125,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1963-1965,Sir John E. Coulson,K.C.M.G.
126,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1965-1968,Sir Colin T. Crowe,G.C.M.G.
127,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1968-1970,Sir Peter A. Wilkinson,"K.C.M.G., D.S.O., O.B.E."
128,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1970-1972,Sir J. Oliver Wright,"G.C.M.G., G.C.V.O., D.S.C."
129,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1972-1976,Sir Donald C. Tebbit,G.C.M.G.
130,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1976-1978,Sir H.B. Curtis Keeble,G.C.M.G.
131,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1978-1982,Sir Edward Youde,"G.C.M.G., G.C.V.O., M.B.E."
132,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1982-1984,Sir Derek M. Day,K.C.M.G.
133,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1984-1986,Sir John S. Whitehead,"G.C.M.G., C.V.O."
134,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1986-1989,Sir R. Mark Russell,K.C.M.G.
135,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1989-1992,Sir John D.I. Boyd,K.C.M.G.
136,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1992-1995,Sir Andrew M. Wood,G.C.M.G.
137,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1995-1998,Sir J. Robertson (Rob) Young,G.C.M.G.
138,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),1998-2001,Sir Christopher O. Hum,K.C.M.G.
139,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2001-2003,Peter S. Collecott,C.M.G.
140,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2003-2007,Sir C. Richard V. Stagg,K.C.M.G.
141,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2007-2011,Sir James D. Bevan,K.C.M.G.
142,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2011-2014,Matthew J. Rycroft,C.B.E.
143,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2014-2016,Deborah J. Bronnert,C.M.G.
144,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2016-2017,Karen E. Pierce,C.M.G.
145,Chief Clerk (until 1933 and again from 1940); Principal Establishment Officer (from 1933 until 1940); Director-General of Corporate Affairs from 2002 until 2007; Director-General Change and Delivery from 2007 until 2010; Chief Operating Officer from 2011),2017-,Peter E. Jones,
146,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1956-1960,Sir Patrick H. Dean,G.C.M.G.
147,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1960-1963,Sir Hugh S. Stephenson,"G.B.E., K.C.M.G., C.I.E., C.V.O."
148,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1963-1966,Sir Bernard A.B. Burrows,G.C.M.G.
149,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1966-1968,Lord Greenhill of Harrow,"G.C.M.G., O.B.E."
150,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1966-1968,Sir John O. Rennie,K.C.M.G.
151,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1968-1970,Sir Edward H. Peck,G.C.M.G.
152,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1970-1973,Sir R. Stewart Crawford,"G.C.M.G., C.V.O."
153,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1973-1975,Sir Geoffrey G. Arthur,K.C.M.G.
154,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1975-1977,Sir Richard A. Sykes,"K.C.M.G., M.C."
155,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1977-1980,Rt. Hon. Sir A. Antony Duff,"G.C.M.G., C.V.O., D.S.O., D.S.C."
156,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1980-1982,Sir Antony A. Acland,"K.G., G.C.M.G., G.C.V.O."
157,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1982-1984,Lord Wright of Richmond,G.C.M.G.
158,"Deputy Under-Secretary (Defence/Intelligence; Director-General from 2002) (and Chairman, Joint Intelligence Committee from 1956 until 1985)",1984-1987,Sir A. David S. Goodall,G.C.M.G.
